WaterRight,CombWaterRight,Source,WaterUse,MaxDivRate,Pdate
37-11387,37-104,BIG WOOD RIVER,1,1.14,5/15/1882
37-11387,37-105A,BIG WOOD RIVER,1,4.55,5/31/1887
37-11387,37-11394,BIG WOOD RIVER,1,1.28,9/1/1920
37-11430,37-20570,BIG WOOD RIVER,1,6.49,3/24/1883
37-11430,37-20571,BIG WOOD RIVER,1,0.77,3/24/1883
37-11430,37-20574,BIG WOOD RIVER,1,2.21,5/15/1885
37-11430,37-20577,BIG WOOD RIVER,1,9.6,5/31/1887
37-11430,37-20578,BIG WOOD RIVER,1,1.11,5/31/1887
37-11430,37-20581,BIG WOOD RIVER,1,0.55,6/15/1891
37-11430,37-20584,BIG WOOD RIVER,1,3.32,5/15/1892
37-11430,37-20593,BIG WOOD RIVER,1,3.36,6/30/1884
37-11430,37-22026,BIG WOOD RIVER,1,0.01,5/31/1887
37-11430,37-22028,BIG WOOD RIVER,1,0.03,5/15/1892
37-11430,37-22030,BIG WOOD RIVER,1,0.06,5/31/1887
37-11430,37-22032,BIG WOOD RIVER,1,0.02,5/15/1885
37-11430,37-22034,BIG WOOD RIVER,1,0.02,6/30/1884
37-11430,37-22036,BIG WOOD RIVER,1,0.01,6/15/1891
37-11430,37-22038,BIG WOOD RIVER,1,0.01,3/24/1883
37-11430,37-22040,BIG WOOD RIVER,1,0.04,3/24/1883
37-11550,37-458A,CLEAR CREEK,1,0.08,6/1/1883
37-11911,37-11892,SILVER CREEK,1,3.3,4/1/1887
37-11911,37-11898,SILVER CREEK,1,1.54,6/1/1889
37-11911,37-11900,SILVER CREEK,1,14,4/1/1890
37-11911,37-11903,SILVER CREEK,1,2.8,6/1/1893
37-11911,37-186,SILVER CREEK,1,0.4,7/1/1886
37-11911,37-187,SILVER CREEK,1,1.6,11/1/1892
37-11911,37-189,SILVER CREEK,1,1.8,4/1/1899
37-11911,37-20609,SILVER CREEK,1,19.69,9/1/1883
37-11911,37-21,SILVER CREEK,1,5.6,9/1/1887
37-11911,37-213,SILVER CREEK,1,1.6,4/1/1885
37-11911,37-215D,SILVER CREEK,1,4,3/31/1877
37-11911,37-22,SILVER CREEK,1,1,6/17/1899
37-11911,37-2405,SILVER CREEK,1,4,2/9/1920
37-11911,37-333,SILVER CREEK,1,1.6,11/1/1889
37-11911,37-351A,SILVER CREEK,1,0.25,6/1/1886
37-11911,37-352A,SILVER CREEK,1,0.6,6/15/1887
37-11911,37-377,SILVER CREEK,1,0.8,4/1/1888
37-11911,37-378,SILVER CREEK,1,2,6/15/1888
37-11911,37-695,SILVER CREEK,1,1.2,4/1/1889
37-11911,37-942,SILVER CREEK,1,5,8/1/1917
37-11914,37-11892,SILVER CREEK,1,3.3,4/1/1887
37-11914,37-11898,SILVER CREEK,1,1.54,6/1/1889
37-11914,37-11900,SILVER CREEK,1,14,4/1/1890
37-11914,37-11903,SILVER CREEK,1,2.8,6/1/1893
