YearMonth,Diversion,Reach,BigReach,EntityName,WMISNumber,GWDiv_af
199501,SVWSD Well 1,None,None,Sun Valley Water and Sewer District,1000872,-18.23
199502,SVWSD Well 1,None,None,Sun Valley Water and Sewer District,1000872,-16.39
199503,SVWSD Well 1,None,None,Sun Valley Water and Sewer District,1000872,-19.18
199504,SVWSD Well 1,None,None,Sun Valley Water and Sewer District,1000872,-19.15
199505,SVWSD Well 1,None,None,Sun Valley Water and Sewer District,1000872,-19.46
199506,SVWSD Well 1,None,None,Sun Valley Water and Sewer District,1000872,-14.7
199507,SVWSD Well 1,None,None,Sun Valley Water and Sewer District,1000872,-17.49
199508,SVWSD Well 1,None,None,Sun Valley Water and Sewer District,1000872,-17.43
199509,SVWSD Well 1,None,None,Sun Valley Water and Sewer District,1000872,-17.65
199510,SVWSD Well 1,None,None,Sun Valley Water and Sewer District,1000872,-19.3
199511,SVWSD Well 1,None,None,Sun Valley Water and Sewer District,1000872,-17.89
199512,SVWSD Well 1,None,None,Sun Valley Water and Sewer District,1000872,-17.92
199601,SVWSD Well 1,None,None,Sun Valley Water and Sewer District,1000872,-17.89
199602,SVWSD Well 1,None,None,Sun Valley Water and Sewer District,1000872,-16.76
199603,SVWSD Well 1,None,None,Sun Valley Water and Sewer District,1000872,-17.74
199604,SVWSD Well 1,None,None,Sun Valley Water and Sewer District,1000872,-17.98
199605,SVWSD Well 1,None,None,Sun Valley Water and Sewer District,1000872,-18.81
199606,SVWSD Well 1,None,None,Sun Valley Water and Sewer District,1000872,-17.09
199607,SVWSD Well 1,None,None,Sun Valley Water and Sewer District,1000872,-16.66
199608,SVWSD Well 1,None,None,Sun Valley Water and Sewer District,1000872,-16.57
199609,SVWSD Well 1,None,None,Sun Valley Water and Sewer District,1000872,-16.23
199610,SVWSD Well 1,None,None,Sun Valley Water and Sewer District,1000872,-17.31
199611,SVWSD Well 1,None,None,Sun Valley Water and Sewer District,1000872,-16.54
199612,SVWSD Well 1,None,None,Sun Valley Water and Sewer District,1000872,-17.98
199701,SVWSD Well 1,None,None,Sun Valley Water and Sewer District,1000872,-17.99
199702,SVWSD Well 1,None,None,Sun Valley Water and Sewer District,1000872,-15.35
199703,SVWSD Well 1,None,None,Sun Valley Water and Sewer District,1000872,-16.81
199704,SVWSD Well 1,None,None,Sun Valley Water and Sewer District,1000872,-17.45
