YearMonth,Diversion,Reach,BigReach,EntityName,SWDiv_af
199504,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,0
199505,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,31.1
199506,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,77.75
199507,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,61.01
199508,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,120.52
199509,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,116.63
199510,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,29.1575
199604,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,0
199605,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,52.01
199606,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,90.13
199607,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,118.02
199608,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,120.52
199609,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,34.99
199610,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,8.7475
199704,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,0
199705,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,104.97
199706,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,116.63
199707,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,120.52
199708,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,120.52
199709,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,116.63
199710,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,29.1575
199804,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,0
199805,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,62.2
199806,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,34.99
199807,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,120.52
199808,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,120.52
199809,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,116.63
199810,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,29.1575
199904,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,0
199905,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,77.63
199906,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,238.67
199907,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,300.67
199908,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,300.67
199909,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,215.29
199910,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,53.8225
200004,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,25.39
200005,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,157.41
200006,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,151.38
200007,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,147.57
200008,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,147.57
200009,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,142.81
200010,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,35.7025
200104,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,61.88
200105,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,126.82
200106,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,116.63
200107,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,167.96
200108,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,184.46
200109,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,178.51
200110,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,44.6275
200204,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,0
200205,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,152.61
200206,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,249.92
200207,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,220.5
200208,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,184.46
200209,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,178.51
200210,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,44.6275
200304,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,36.65
200305,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,180.77
200306,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,174.94
200307,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,180.77
200308,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,180.77
200309,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,174.94
200310,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,43.735
200404,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,53.95
200405,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,245.95
200406,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,158.68
200407,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,122.98
200408,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,122.98
200409,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,115.04
200410,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,28.76
200504,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,42.84
200505,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,147.57
200506,Albretheson 17,Spring creeks blw Hwy 20,Spring creeks abv Sportsman,Loving Silver,142.81
