YearMonth,Return,Reach,BigReach,EntityName,WWTP_af
199501,Bellevue WWTP,None,None,City of Bellevue,-29.46
199601,Bellevue WWTP,None,None,City of Bellevue,-29.46
199701,Bellevue WWTP,None,None,City of Bellevue,-29.46
199801,Bellevue WWTP,None,None,City of Bellevue,-29.46
199901,Bellevue WWTP,None,None,City of Bellevue,-29.46
200001,Bellevue WWTP,None,None,City of Bellevue,-34.37
200101,Bellevue WWTP,None,None,City of Bellevue,-34.37
200201,Bellevue WWTP,None,None,City of Bellevue,-12.28
200301,Bellevue WWTP,None,None,City of Bellevue,-8.9
200401,Bellevue WWTP,None,None,City of Bellevue,-20.2
200501,Bellevue WWTP,None,None,City of Bellevue,-20.06
200601,Bellevue WWTP,None,None,City of Bellevue,-18.39
200701,Bellevue WWTP,None,None,City of Bellevue,-18.96
200801,Bellevue WWTP,None,None,City of Bellevue,-14.74
200901,Bellevue WWTP,None,None,City of Bellevue,-21.14
201001,Bellevue WWTP,None,None,City of Bellevue,-19.2
201101,Bellevue WWTP,None,None,City of Bellevue,-20.76
201201,Bellevue WWTP,None,None,City of Bellevue,-17.62
199502,Bellevue WWTP,None,None,City of Bellevue,-29.46
199602,Bellevue WWTP,None,None,City of Bellevue,-29.46
199702,Bellevue WWTP,None,None,City of Bellevue,-29.46
199802,Bellevue WWTP,None,None,City of Bellevue,-29.46
199902,Bellevue WWTP,None,None,City of Bellevue,-29.46
200002,Bellevue WWTP,None,None,City of Bellevue,-34.37
200102,Bellevue WWTP,None,None,City of Bellevue,-34.37
200202,Bellevue WWTP,None,None,City of Bellevue,-12.28
200302,Bellevue WWTP,None,None,City of Bellevue,-5.22
200402,Bellevue WWTP,None,None,City of Bellevue,-15.78
200502,Bellevue WWTP,None,None,City of Bellevue,-20.47
200602,Bellevue WWTP,None,None,City of Bellevue,-12.8
200702,Bellevue WWTP,None,None,City of Bellevue,-21.96
200802,Bellevue WWTP,None,None,City of Bellevue,-12.59
200902,Bellevue WWTP,None,None,City of Bellevue,-21.93
201002,Bellevue WWTP,None,None,City of Bellevue,-19.15
201102,Bellevue WWTP,None,None,City of Bellevue,-8.18
201202,Bellevue WWTP,None,None,City of Bellevue,-17.28
199503,Bellevue WWTP,None,None,City of Bellevue,-29.46
199603,Bellevue WWTP,None,None,City of Bellevue,-29.46
199703,Bellevue WWTP,None,None,City of Bellevue,-29.46
199803,Bellevue WWTP,None,None,City of Bellevue,-29.46
199903,Bellevue WWTP,None,None,City of Bellevue,-29.46
200003,Bellevue WWTP,None,None,City of Bellevue,-34.37
200103,Bellevue WWTP,None,None,City of Bellevue,-34.37
