Date,Disch_cfs,Code
2011-04-21,111,A
2011-04-22,99,A
2011-04-23,99,A
2011-04-24,101,A
2011-04-25,103,A
2011-04-26,102,A
2011-04-27,100,A
2011-04-28,111,A
2011-04-29,111,A
2011-04-30,110,A
2011-05-01,123,A
2011-05-02,142,A
2011-05-03,162,A
2011-05-04,173,A
2011-05-05,208,A
2011-05-06,243,A
2011-05-07,301,A
2011-05-08,350,A
2011-05-09,312,A
2011-05-10,299,A
2011-05-11,322,A
2011-05-12,375,A
2011-05-13,434,A
2011-05-14,495,A
2011-05-15,557,A
2011-05-16,536,A
2011-05-17,433,A
2011-05-18,357,A
2011-05-19,335,A
2011-05-20,358,A
2011-05-21,385,A
2011-05-22,431,A
2011-05-23,473,A
2011-05-24,477,A
2011-05-25,479,A
2011-05-26,651,A
2011-05-27,537,A
2011-05-28,471,A
2011-05-29,415,A
2011-05-30,366,A
2011-05-31,330,A
2011-06-01,321,A
2011-06-02,338,A
2011-06-03,318,A
2011-06-04,313,A
2011-06-05,360,A
2011-06-06,497,A
2011-06-07,566,A
2011-06-08,592,A
2011-06-09,577,A
2011-06-10,535,A
2011-06-11,513,A
2011-06-12,543,A
2011-06-13,618,A
2011-06-14,650,A
2011-06-15,721,A
2011-06-16,708,A
2011-06-17,634,A
2011-06-18,593,A
2011-06-19,559,A
2011-06-20,582,A
2011-06-21,652,A
2011-06-22,705,A
2011-06-23,811,A
2011-06-24,854,A
2011-06-25,754,A
2011-06-26,674,A
2011-06-27,669,A
2011-06-28,694,A
2011-06-29,809,A
2011-06-30,806,A
2011-07-01,713,A
2011-07-02,662,A
2011-07-03,659,A
2011-07-04,686,A
2011-07-05,649,A
2011-07-06,604,A
2011-07-07,574,A
2011-07-08,535,A
2011-07-09,489,A
2011-07-10,443,A
2011-07-11,422,A
2011-07-12,411,A
2011-07-13,400,A
2011-07-14,370,A
2011-07-15,346,A
2011-07-16,327,A
2011-07-17,311,A
2011-07-18,296,A
2011-07-19,284,A
2011-07-20,274,A
2011-07-21,256,A
2011-07-22,247,A
2011-07-23,235,A
2011-07-24,225,A
2011-07-25,219,A
2011-07-26,214,A
2011-07-27,205,A
2011-07-28,195,A
2011-07-29,188,A
2011-07-30,183,A
2011-07-31,183,A
2011-08-01,183,A
2011-08-02,181,A
2011-08-03,172,A
2011-08-04,168,A
2011-08-05,180,A
2011-08-06,168,A
2011-08-07,161,A
2011-08-08,154,A
2011-08-09,153,A
2011-08-10,147,A
2011-08-11,143,A
2011-08-12,139,A
2011-08-13,136,A
2011-08-14,133,A
2011-08-15,130,A
2011-08-16,128,A
2011-08-17,125,A
2011-08-18,122,A
2011-08-19,118,A
2011-08-20,117,A
2011-08-21,116,A
2011-08-22,112,A
2011-08-23,110,A
2011-08-24,108,A
2011-08-25,107,A
2011-08-26,105,A
2011-08-27,103,A
2011-08-28,103,A
2011-08-29,100,A
2011-08-30,98,A
2011-08-31,97,A
2011-09-01,95,A
2011-09-02,95,A
2011-09-03,94,A
2011-09-04,93,A
2011-09-05,92,A
2011-09-06,91,A
2011-09-07,91,A
2011-09-08,91,A
2011-09-09,89,A
2011-09-10,87,A
2011-09-11,86,A
2011-09-12,88,A
2011-09-13,88,A
2011-09-14,87,A
2011-09-15,85,A
2011-09-16,90,A
2011-09-17,87,A
2011-09-18,85,A
2011-09-19,84,A
2011-09-20,82,A
2011-09-21,82,A
2011-09-22,80,A
2011-09-23,79,A
2011-09-24,78,A
2011-09-25,77,A
2011-09-26,77,A
2011-09-27,76,A
2011-09-28,76,A
2011-09-29,74,A
2011-09-30,74,A
2011-10-01,74,A
2011-10-02,76,A
2011-10-03,75,A
2011-10-04,85,A
2011-10-05,129,A
2011-10-06,112,A
2011-10-07,96,A
2011-10-08,92,A
2011-10-09,89,A
2011-10-10,88,A
2011-10-11,99,A
2011-10-12,96,A
2011-10-13,90,A
2011-10-14,89,A
2011-10-15,89,A
2011-10-16,109,A
2011-10-17,121,A
2011-10-18,104,A
2011-10-19,98,A
2011-10-20,95,A
2011-10-21,92,A
2011-10-22,89,A
2011-10-23,87,A
2011-10-24,85,A
2011-10-25,84,A
2011-10-26,79,A
2011-10-27,79,A
2011-10-28,77,A
2011-10-29,77,A
2011-10-30,76,A
2011-10-31,76,A
2011-11-01,74,A
2011-11-02,67,A
2011-11-03,71,A
2011-11-04,75,A
2011-11-05,73,A
2011-11-06,68,A
2011-11-07,69,A
2011-11-08,67,A
2011-11-09,64,A
2011-11-10,68,A
2011-11-11,70,A
2011-11-12,73,A
2011-11-13,70,A
2011-11-14,69,A
2011-11-15,67,A
2011-11-16,62,A
2011-11-17,84,A
2011-11-18,76,A
2011-11-19,69,A
2011-11-20,60,A:e
2011-11-21,80,A
2011-11-22,70,A
2011-11-23,70,A
2011-11-24,73,A
2011-11-25,70,A
2011-11-26,57,A
2011-11-27,60,A:e
2011-11-28,75,A:e
2011-11-29,69,A
2011-11-30,70,A
2011-12-01,58,A
2011-12-02,50,A:e
2011-12-03,32,A:e
2011-12-04,30,A:e
2011-12-05,28,A:e
2011-12-06,35,A
2011-12-07,44,A
2011-12-08,50,A
2011-12-09,54,A
2011-12-10,53,A
2011-12-11,53,A
2011-12-12,57,A
2011-12-13,58,A
2011-12-14,63,A
2011-12-15,64,A
2011-12-16,59,A
2011-12-17,61,A
2011-12-18,62,A
2011-12-19,62,A
2011-12-20,61,A
2011-12-21,65,A
2011-12-22,50,A
2011-12-23,45,A
2011-12-24,52,A
2011-12-25,60,A
2011-12-26,65,A
2011-12-27,67,A
2011-12-28,68,A
2011-12-29,67,A
2011-12-30,65,A
2011-12-31,60,A
2012-01-01,50,A
2012-01-02,58,A
2012-01-03,62,A
2012-01-04,59,A
2012-01-05,60,A
2012-01-06,56,A
2012-01-07,56,A
2012-01-08,55,A
2012-01-09,58,A
2012-01-10,55,A
2012-01-11,48,A
2012-01-12,42,A
2012-01-13,50,A
2012-01-14,56,A
2012-01-15,59,A
2012-01-16,55,A:e
2012-01-17,50,A:e
2012-01-18,55,A
2012-01-19,59,A
2012-01-20,60,A
2012-01-21,60,A
2012-01-22,59,A
2012-01-23,59,A
2012-01-24,55,A
2012-01-25,57,A
2012-01-26,59,A
2012-01-27,56,A
2012-01-28,55,A:e
2012-01-29,57,A
2012-01-30,61,A
2012-01-31,53,A
2012-02-01,54,A
2012-02-02,58,A
2012-02-03,48,A
2012-02-04,49,A
2012-02-05,52,A
2012-02-06,54,A
2012-02-07,54,A
2012-02-08,58,A
2012-02-09,58,A
2012-02-10,57,A
2012-02-11,56,A
2012-02-12,56,A
2012-02-13,53,A
2012-02-14,51,A
2012-02-15,48,A
2012-02-16,47,A
2012-02-17,55,A:e
2012-02-18,55,A
2012-02-19,51,A
2012-02-20,51,A
2012-02-21,60,A
2012-02-22,58,A
2012-02-23,53,A
2012-02-24,49,A
2012-02-25,56,A
2012-02-26,48,A:e
2012-02-27,51,A
2012-02-28,51,A
2012-02-29,56,A
2012-03-01,52,A
2012-03-02,50,A:e
2012-03-03,54,A
2012-03-04,54,A
2012-03-05,53,A
2012-03-06,57,A
2012-03-07,50,A
2012-03-08,55,A
2012-03-09,56,A
2012-03-10,57,A
2012-03-11,61,A
2012-03-12,60,A
2012-03-13,58,A
2012-03-14,60,A
2012-03-15,64,A
2012-03-16,85,A
2012-03-17,80,A
2012-03-18,70,A
2012-03-19,65,A
2012-03-20,56,A
2012-03-21,64,A
2012-03-22,66,A
2012-03-23,73,A
2012-03-24,73,A
2012-03-25,78,A
2012-03-26,89,A
2012-03-27,83,A
2012-03-28,80,A
2012-03-29,74,A
2012-03-30,77,A
2012-03-31,109,A
2012-04-01,140,A
2012-04-02,120,A
2012-04-03,114,A
2012-04-04,112,A
2012-04-05,111,A
2012-04-06,108,A
2012-04-07,101,A
2012-04-08,106,A
2012-04-09,129,A
2012-04-10,167,A
2012-04-11,212,A
2012-04-12,209,A
2012-04-13,208,A
2012-04-14,203,A
2012-04-15,211,A
2012-04-16,210,A
2012-04-17,216,A
2012-04-18,284,A
2012-04-19,316,A
2012-04-20,373,A
2012-04-21,480,A
2012-04-22,589,A
2012-04-23,734,A
2012-04-24,832,A
2012-04-25,864,A
2012-04-26,1300,A
2012-04-27,1360,A
2012-04-28,876,A
2012-04-29,691,A
2012-04-30,604,A
2012-05-01,552,A
2012-05-02,510,A
2012-05-03,476,A
2012-05-04,450,A
2012-05-05,412,A
2012-05-06,388,A
2012-05-07,378,A
2012-05-08,406,A
2012-05-09,493,A
2012-05-10,611,A
2012-05-11,617,A
2012-05-12,603,A
2012-05-13,628,A
2012-05-14,689,A
2012-05-15,769,A
2012-05-16,815,A
2012-05-17,891,A
2012-05-18,758,A
2012-05-19,683,A
2012-05-20,640,A
2012-05-21,631,A
2012-05-22,693,A
2012-05-23,652,A
2012-05-24,584,A
2012-05-25,535,A
2012-05-26,481,A
2012-05-27,452,A
2012-05-28,420,A
2012-05-29,407,A
2012-05-30,400,A
2012-05-31,421,A
2012-06-01,503,A
2012-06-02,616,A
2012-06-03,717,A
2012-06-04,757,A
2012-06-05,836,A
2012-06-06,672,A
2012-06-07,546,A
2012-06-08,490,A
2012-06-09,451,A
2012-06-10,416,A
2012-06-11,385,A
