YearMonth,RechSite,Rech_af
199501,Bellevue WWTP Ponds,29.46
199502,Bellevue WWTP Ponds,29.46
199503,Bellevue WWTP Ponds,29.46
199504,Bellevue WWTP Ponds,38.06
199505,Bellevue WWTP Ponds,11.17
199506,Bellevue WWTP Ponds,36.58
199507,Bellevue WWTP Ponds,4.22
199508,Bellevue WWTP Ponds,10.61
199509,Bellevue WWTP Ponds,20.62
199510,Bellevue WWTP Ponds,25.53
199511,Bellevue WWTP Ponds,25.53
199512,Bellevue WWTP Ponds,34.37
199601,Bellevue WWTP Ponds,29.46
199602,Bellevue WWTP Ponds,29.46
199603,Bellevue WWTP Ponds,29.46
199604,Bellevue WWTP Ponds,38.06
199605,Bellevue WWTP Ponds,11.17
199606,Bellevue WWTP Ponds,36.58
199607,Bellevue WWTP Ponds,4.22
199608,Bellevue WWTP Ponds,10.61
199609,Bellevue WWTP Ponds,20.62
199610,Bellevue WWTP Ponds,25.53
199611,Bellevue WWTP Ponds,25.53
199612,Bellevue WWTP Ponds,34.37
199701,Bellevue WWTP Ponds,29.46
199702,Bellevue WWTP Ponds,29.46
199703,Bellevue WWTP Ponds,29.46
199704,Bellevue WWTP Ponds,38.06
199705,Bellevue WWTP Ponds,11.17
199706,Bellevue WWTP Ponds,36.58
199707,Bellevue WWTP Ponds,4.22
199708,Bellevue WWTP Ponds,10.61
199709,Bellevue WWTP Ponds,20.62
199710,Bellevue WWTP Ponds,25.53
199711,Bellevue WWTP Ponds,25.53
199712,Bellevue WWTP Ponds,34.37
199801,Bellevue WWTP Ponds,29.46
199802,Bellevue WWTP Ponds,29.46
199803,Bellevue WWTP Ponds,29.46
199804,Bellevue WWTP Ponds,38.06
199805,Bellevue WWTP Ponds,11.17
199806,Bellevue WWTP Ponds,36.58
199807,Bellevue WWTP Ponds,4.22
199808,Bellevue WWTP Ponds,10.61
199809,Bellevue WWTP Ponds,20.62
199810,Bellevue WWTP Ponds,25.53
199811,Bellevue WWTP Ponds,25.53
199812,Bellevue WWTP Ponds,34.37
199901,Bellevue WWTP Ponds,29.46
199902,Bellevue WWTP Ponds,29.46
199903,Bellevue WWTP Ponds,29.46
199904,Bellevue WWTP Ponds,38.06
199905,Bellevue WWTP Ponds,11.17
199906,Bellevue WWTP Ponds,36.58
199907,Bellevue WWTP Ponds,4.22
199908,Bellevue WWTP Ponds,10.61
199909,Bellevue WWTP Ponds,20.62
199910,Bellevue WWTP Ponds,25.53
199911,Bellevue WWTP Ponds,25.53
199912,Bellevue WWTP Ponds,34.37
200001,Bellevue WWTP Ponds,34.37
200002,Bellevue WWTP Ponds,34.37
