parameter.desc,ID,units,start.value,lower.bound,upper.bound,parameter.name,group,value,comp.sens
Horizontal hydraulic conductivity,1,m/d,21,1E-10,1E+10,l1hkppt1,hk1,648.913,4.233995E-03
Horizontal hydraulic conductivity,2,m/d,21,1E-10,1E+10,l1hkppt2,hk1,102.563,1.309994E-02
Horizontal hydraulic conductivity,3,m/d,21,1E-10,1E+10,l1hkppt3,hk1,217.559,4.974330E-03
Horizontal hydraulic conductivity,4,m/d,21,1E-10,1E+10,l1hkppt4,hk1,252.052,5.366032E-03
Horizontal hydraulic conductivity,5,m/d,21,1E-10,1E+10,l1hkppt5,hk1,147.378,6.221294E-03
Horizontal hydraulic conductivity,6,m/d,21,1E-10,1E+10,l1hkppt6,hk1,250.403,7.000874E-03
Horizontal hydraulic conductivity,7,m/d,21,1E-10,1E+10,l1hkppt7,hk1,0.890262,5.956790E-03
Horizontal hydraulic conductivity,8,m/d,21,1E-10,1E+10,l1hkppt8,hk1,27.6401,7.296146E-03
Horizontal hydraulic conductivity,9,m/d,21,1E-10,1E+10,l1hkppt9,hk1,28.7058,4.722826E-02
Horizontal hydraulic conductivity,10,m/d,21,1E-10,1E+10,l1hkppt10,hk1,163.585,3.602779E-02
Horizontal hydraulic conductivity,11,m/d,21,1E-10,1E+10,l1hkppt11,hk1,715.158,9.108745E-03
Horizontal hydraulic conductivity,12,m/d,21,1E-10,1E+10,l1hkppt12,hk1,2.40378,3.235186E-03
Horizontal hydraulic conductivity,13,m/d,21,1E-10,1E+10,l1hkppt13,hk1,12863.1,3.003020E-03
Horizontal hydraulic conductivity,14,m/d,21,1E-10,1E+10,l1hkppt14,hk1,84.9958,1.103520E-02
Horizontal hydraulic conductivity,15,m/d,21,1E-10,1E+10,l1hkppt15,hk1,584.039,7.626506E-03
Horizontal hydraulic conductivity,16,m/d,21,1E-10,1E+10,l1hkppt16,hk1,46.7957,1.339911E-02
Horizontal hydraulic conductivity,17,m/d,21,1E-10,1E+10,l1hkppt17,hk1,378.827,1.348655E-02
Horizontal hydraulic conductivity,18,m/d,21,1E-10,1E+10,l1hkppt18,hk1,37290.6,3.035797E-03
Horizontal hydraulic conductivity,19,m/d,21,1E-10,1E+10,l1hkppt19,hk1,332.399,1.073558E-02
Horizontal hydraulic conductivity,20,m/d,21,1E-10,1E+10,l1hkppt20,hk1,15.5838,3.899403E-03
Horizontal hydraulic conductivity,21,m/d,21,1E-10,1E+10,l1hkppt21,hk1,12.2349,4.403107E-02
Horizontal hydraulic conductivity,22,m/d,21,1E-10,1E+10,l1hkppt22,hk1,11.8927,4.546110E-02
Horizontal hydraulic conductivity,23,m/d,21,1E-10,1E+10,l1hkppt23,hk1,298.386,1.956046E-02
Horizontal hydraulic conductivity,24,m/d,21,1E-10,1E+10,l1hkppt24,hk1,90.5343,1.989667E-02
Horizontal hydraulic conductivity,25,m/d,21,1E-10,1E+10,l1hkppt25,hk1,32.3205,1.504943E-02
Horizontal hydraulic conductivity,26,m/d,21,1E-10,1E+10,l1hkppt26,hk1,181.821,1.328778E-02
Horizontal hydraulic conductivity,27,m/d,21,1E-10,1E+10,l1hkppt27,hk1,4.80096,9.240949E-03
Horizontal hydraulic conductivity,28,m/d,21,1E-10,1E+10,l1hkppt28,hk1,7.30878,1.596833E-02
Horizontal hydraulic conductivity,29,m/d,21,1E-10,1E+10,l1hkppt29,hk1,470.006,4.261523E-03
Horizontal hydraulic conductivity,30,m/d,21,1E-10,1E+10,l1hkppt30,hk1,1.7646,2.301461E-03
Horizontal hydraulic conductivity,31,m/d,21,1E-10,1E+10,l1hkppt31,hk1,0.916391,2.302784E-03
Horizontal hydraulic conductivity,32,m/d,21,1E-10,1E+10,l1hkppt32,hk1,106.03,1.148077E-02
Horizontal hydraulic conductivity,33,m/d,21,1E-10,1E+10,l1hkppt33,hk1,1926.08,3.772522E-03
Horizontal hydraulic conductivity,34,m/d,21,1E-10,1E+10,l1hkppt34,hk1,9.85414,8.056969E-03
Horizontal hydraulic conductivity,35,m/d,21,1E-10,1E+10,l1hkppt35,hk1,104.386,1.814002E-02
Horizontal hydraulic conductivity,36,m/d,21,1E-10,1E+10,l1hkppt36,hk1,338.478,1.617890E-02
Horizontal hydraulic conductivity,37,m/d,21,1E-10,1E+10,l1hkppt37,hk1,3.45479,8.708844E-03
Horizontal hydraulic conductivity,38,m/d,21,1E-10,1E+10,l1hkppt38,hk1,243.054,1.429056E-02
Horizontal hydraulic conductivity,39,m/d,21,1E-10,1E+10,l1hkppt39,hk1,5.87125,2.079960E-03
Horizontal hydraulic conductivity,40,m/d,21,1E-10,1E+10,l1hkppt40,hk1,26.8192,3.315720E-03
Horizontal hydraulic conductivity,41,m/d,21,1E-10,1E+10,l1hkppt41,hk1,4.7886,1.082772E-02
Horizontal hydraulic conductivity,42,m/d,21,1E-10,1E+10,l1hkppt42,hk1,20.7234,9.421834E-03
Horizontal hydraulic conductivity,43,m/d,21,1E-10,1E+10,l1hkppt43,hk1,3.43056,2.942653E-02
Horizontal hydraulic conductivity,44,m/d,21,1E-10,1E+10,l1hkppt44,hk1,244.016,8.028801E-03
Horizontal hydraulic conductivity,45,m/d,21,1E-10,1E+10,l1hkppt45,hk1,196.231,6.672931E-03
Horizontal hydraulic conductivity,46,m/d,21,1E-10,1E+10,l1hkppt46,hk1,168.927,3.434664E-02
Horizontal hydraulic conductivity,47,m/d,21,1E-10,1E+10,l1hkppt47,hk1,620.295,2.320327E-02
Horizontal hydraulic conductivity,48,m/d,21,1E-10,1E+10,l1hkppt48,hk1,89.0488,1.312896E-02
Horizontal hydraulic conductivity,49,m/d,21,1E-10,1E+10,l1hkppt49,hk1,1143.08,1.815391E-02
Horizontal hydraulic conductivity,50,m/d,21,1E-10,1E+10,l1hkppt50,hk1,0.704064,4.745253E-03
Horizontal hydraulic conductivity,51,m/d,21,1E-10,1E+10,l1hkppt51,hk1,86.0779,6.355895E-03
Horizontal hydraulic conductivity,52,m/d,21,1E-10,1E+10,l1hkppt52,hk1,158.374,8.284980E-03
Horizontal hydraulic conductivity,53,m/d,21,1E-10,1E+10,l1hkppt53,hk1,758.656,2.805241E-02
Horizontal hydraulic conductivity,54,m/d,21,1E-10,1E+10,l1hkppt54,hk1,956.082,2.123174E-02
Horizontal hydraulic conductivity,55,m/d,21,1E-10,1E+10,l1hkppt55,hk1,14.4652,4.066466E-02
Horizontal hydraulic conductivity,56,m/d,21,1E-10,1E+10,l1hkppt56,hk1,2.01524,1.482199E-02
Horizontal hydraulic conductivity,57,m/d,21,1E-10,1E+10,l1hkppt57,hk1,73.6691,1.005497E-02
Horizontal hydraulic conductivity,58,m/d,21,1E-10,1E+10,l1hkppt58,hk1,133.587,8.318862E-03
Horizontal hydraulic conductivity,59,m/d,21,1E-10,1E+10,l1hkppt59,hk1,586.176,1.389078E-02
Horizontal hydraulic conductivity,60,m/d,21,1E-10,1E+10,l2hkppt1,hk2,237.072,1.358757E-02
Horizontal hydraulic conductivity,61,m/d,21,1E-10,1E+10,l2hkppt2,hk2,35.1331,1.505866E-02
Horizontal hydraulic conductivity,62,m/d,21,1E-10,1E+10,l2hkppt3,hk2,30.0414,1.663721E-02
Horizontal hydraulic conductivity,63,m/d,21,1E-10,1E+10,l2hkppt4,hk2,16.4425,1.706336E-02
Horizontal hydraulic conductivity,64,m/d,21,1E-10,1E+10,l2hkppt5,hk2,73.5358,1.659990E-02
Horizontal hydraulic conductivity,65,m/d,21,1E-10,1E+10,l2hkppt6,hk2,9.66442,1.648210E-02
Horizontal hydraulic conductivity,66,m/d,21,1E-10,1E+10,l2hkppt7,hk2,18.4809,1.665831E-02
Horizontal hydraulic conductivity,67,m/d,21,1E-10,1E+10,l2hkppt8,hk2,92.3979,1.673408E-02
Horizontal hydraulic conductivity,68,m/d,21,1E-10,1E+10,l2hkppt9,hk2,3.09503,1.684795E-02
