ReachNo,Reach,BigReachNo,BigReach,Aug_cfs,Oct_cfs,Mar_cfs
1,"Big Wood, Nr Ketchum to Hulen Rd",1,"Big Wood, Nr Ketchum to Hailey",,-13.25,-21.32
2,"Big Wood, Hulen Rd to Ketchum",1,"Big Wood, Nr Ketchum to Hailey",,1.46,3.3
3,"Big Wood, Ketchum to Gimlet",1,"Big Wood, Nr Ketchum to Hailey",,-19.67,-11.64
4,"Big Wood, Gimlet to Hailey",1,"Big Wood, Nr Ketchum to Hailey",,-7.54,-25
5,"Big Wood, Hailey to N Broadford",2,"Big Wood, Hailey to Stanton Crossing",20.4,22.11,22
6,"Big Wood, N Broadford to S Broadford",2,"Big Wood, Hailey to Stanton Crossing",20,17,30
7,"Big Wood, S Broadford to Glendale",2,"Big Wood, Hailey to Stanton Crossing",23.06,20.37,21.8
8,"Big Wood, Glendale to Sluder",2,"Big Wood, Hailey to Stanton Crossing",0,1,26.1
9,"Big Wood, Sluder to Wood River Ranch",2,"Big Wood, Hailey to Stanton Crossing",0,0,16.5
10,"Big Wood, Wood River Ranch to Stanton Crossing",2,"Big Wood, Hailey to Stanton Crossing",-31.5,40.9,11
13,Buhler Drain abv Hwy 20,4,Spring creeks abv Sportsman,-4.43,-1.29,-1.04
14,Patton Creek abv Hwy 20,4,Spring creeks abv Sportsman,-2.55,-0.82,-1
15,Cain Creek abv Hwy 20,4,Spring creeks abv Sportsman,-4.08,-1.75,-1.77
16,Chaney Creek abv Hwy 20,4,Spring creeks abv Sportsman,-11.09,-10.8,-14
17,Mud Creek abv Hwy 20,4,Spring creeks abv Sportsman,-4.51,-4.52,-4.99
18,Wilson Creek abv Hwy 20,4,Spring creeks abv Sportsman,-10.1,-10.5,-12.1
19,Grove Creek abv Hwy 20,4,Spring creeks abv Sportsman,-43.1,-35,-36.5
20,Loving Creek abv Hwy 20,4,Spring creeks abv Sportsman,-31.28,-29.9,-31.4
21,spring creeks blw Hwy 20,4,Spring creeks abv Sportsman,-33.03,-26.42,-29.09
