Date,SWE_in
1/1/1952,1.49
1/2/1952,1.43
1/3/1952,1.52
1/4/1965,1.7
1/5/1965,1.59
1/6/1965,1.54
1/7/1965,1.59
1/8/1953,1.66
1/9/1952,1.64
1/10/1952,1.82
1/11/1952,1.89
1/12/1952,1.99
1/13/1952,1.78
1/14/1952,1.95
1/15/1952,1.89
1/16/1952,1.94
1/17/1952,2.09
1/18/1952,2.09
1/19/1952,2.11
1/20/1952,2.12
1/21/1952,2.2
1/22/1952,2.14
1/23/1952,2.24
1/24/1952,2.23
1/25/1952,2.23
1/26/1952,2.14
1/27/1952,2.21
1/28/1952,2.2
1/29/1952,2.25
1/30/1952,2.28
1/31/1952,2.32
2/1/1952,2.35
2/2/1952,2.35
2/3/1952,2.4
2/4/1952,2.39
2/5/1952,2.42
2/6/1952,2.51
2/7/1952,2.32
2/8/1952,2.47
2/9/1952,2.44
2/10/1952,2.46
2/11/1952,2.38
2/12/1952,2.39
2/13/1952,2.47
2/14/1952,2.26
2/15/1969,2.3
2/16/1952,2.3
2/17/1952,2.28
2/18/1952,2.16
2/19/1952,2.27
2/20/1952,2.28
2/21/1952,2.21
2/22/1952,2.18
2/23/1952,2.21
2/24/1952,2.21
2/25/1969,2.18
2/26/1969,2.27
2/27/1969,2.24
2/28/1969,2.16
2/29/1952,2.22
3/1/1969,1.86
3/2/1969,1.82
3/3/1969,1.72
3/4/1969,1.73
3/5/1952,1.82
3/6/1952,1.73
3/7/1952,1.7
3/8/1969,1.6
3/9/1969,1.6
3/10/1952,1.48
3/11/1952,1.49
3/12/1952,1.43
3/13/1952,1.42
3/14/1952,1.3
3/15/1952,1.24
3/16/1952,1.18
3/17/1952,1.2
3/18/1969,1.04
3/19/1952,1.14
3/20/1952,1.08
3/21/1952,1.01
3/22/1952,0.91
3/23/1952,0.88
3/24/1952,0.88
3/25/1952,0.8
3/26/1952,0.69
3/27/1952,0.58
3/28/1952,0.54
3/29/1952,0.58
3/30/1952,0.44
3/31/1952,0.42
4/1/1952,0.26
4/2/1952,0.23
4/3/1952,0.2
4/4/1952,0.17
4/5/1952,0.14
4/6/1952,0.12
4/7/1952,0.06
4/8/1952,0.08
4/9/1952,0.08
4/10/1952,0.07
4/11/1952,0.04
4/12/1952,0.03
4/13/1952,0.02
4/14/1970,0.01
4/15/1970,0.01
4/16/2005,0
4/17/2005,0
4/18/1966,0.03
4/19/1966,0.03
4/20/1966,0.01
4/21/1966,0.01
4/22/1960,0.01
4/23/2005,0
4/24/2005,0
4/25/2005,0
4/26/2005,0
4/27/2005,0
4/28/2005,0
4/29/2005,0
4/30/2005,0
5/1/2005,0
5/2/2005,0
5/3/2005,0
5/4/2005,0
5/5/2005,0
5/6/2005,0
5/7/1988,0
5/8/1988,0
5/9/1988,0
5/10/1988,0
5/11/1988,0
5/12/1988,0
5/13/1988,0
5/14/1988,0
5/15/1988,0
5/16/1988,0
5/17/1988,0
5/18/1988,0
5/19/1988,0
5/20/1988,0
5/21/1988,0
5/22/1988,0
5/23/1988,0
5/24/1988,0
5/25/1988,0
5/26/1988,0
5/27/1988,0
5/28/1988,0
5/29/1988,0
5/30/1988,0
5/31/1988,0
6/1/1987,0
6/2/1987,0
6/3/1987,0
6/4/1987,0
6/5/1987,0
6/6/1987,0
6/7/1987,0
6/8/1987,0
6/9/1987,0
6/10/1987,0
6/11/1987,0
6/12/1987,0
6/13/1987,0
6/14/1987,0
6/15/1987,0
6/16/1987,0
6/17/1987,0
6/18/1987,0
6/19/1987,0
6/20/1987,0
6/21/1987,0
6/22/1987,0
